Date,Open,Max,Min,Close
2024-05-02,"20,360.67","20,360.67","20,222.44","20,222.44"
2024-05-03,"20,381.98","20,521.49","20,272.34","20,330.32"
2024-05-06,"20,479.80","20,639.90","20,479.80","20,523.31"
2024-05-07,"20,634.62","20,689.19","20,493.80","20,653.53"
2024-05-08,"20,604.18","20,700.51","20,547.48","20,700.51"
2024-05-09,"20,710.05","20,754.61","20,560.77","20,560.77"
2024-05-10,"20,582.12","20,765.82","20,574.01","20,708.84"
2024-05-13,"20,905.16","20,933.28","20,816.42","20,857.71"
2024-05-14,"20,835.95","20,994.53","20,816.77","20,985.85"
2024-05-15,"20,984.70","21,308.32","20,984.70","21,147.21"
2024-05-16,"21,319.02","21,515.52","21,249.88","21,304.26"
2024-05-17,"21,346.75","21,346.75","21,218.34","21,258.47"
2024-05-20,"21,278.38","21,338.35","21,102.18","21,271.63"
2024-05-21,"21,239.26","21,307.08","21,131.62","21,236.75"
2024-05-22,"21,248.99","21,567.48","21,248.99","21,551.83"
2024-05-23,"21,668.84","21,668.84","21,475.99","21,607.43"
2024-05-24,"21,442.67","21,608.72","21,381.25","21,565.34"
2024-05-27,"21,699.98","21,871.34","21,699.98","21,803.77"
2024-05-28,"21,812.20","21,937.40","21,812.20","21,858.41"
2024-05-29,"21,846.41","21,906.10","21,662.50","21,662.50"
2024-05-30,"21,481.39","21,558.36","21,364.24","21,364.48"
2024-05-31,"21,400.83","21,539.03","21,174.22","21,174.22"
2024-07-01,"23,042.70","23,187.88","23,015.17","23,058.57"
2024-07-02,"23,012.74","23,041.90","22,833.78","22,879.37"
2024-07-03,"23,009.82","23,172.43","22,994.28","23,172.43"
2024-07-04,"23,360.88","23,571.82","23,360.88","23,522.53"
2024-07-05,"23,532.01","23,628.86","23,491.79","23,556.59"
2024-07-08,"23,550.64","24,011.64","23,505.86","23,878.15"
2024-07-09,"23,888.20","24,126.66","23,607.92","23,900.08"
2024-07-10,"23,744.88","24,040.61","23,682.49","24,007.08"
2024-07-11,"24,242.03","24,416.67","24,151.80","24,390.03"
2024-07-12,"23,955.67","24,045.73","23,774.22","23,916.93"
2024-07-15,"23,927.91","24,018.31","23,759.51","23,879.36"
2024-07-16,"23,880.33","24,174.18","23,861.77","23,997.25"
2024-07-17,"23,827.27","23,993.68","23,650.94","23,769.82"
2024-07-18,"23,373.01","23,450.91","23,148.74","23,398.47"
2024-07-19,"23,228.04","23,235.82","22,865.84","22,869.26"
2024-07-22,"22,818.86","22,818.86","22,130.88","22,256.99"
2024-07-23,"22,514.75","22,871.84","22,514.75","22,871.84"
2024-07-26,"22,206.93","22,206.93","21,889.61","22,119.21"
2024-07-29,"22,321.37","22,471.40","22,128.14","22,164.49"
2024-07-30,"22,040.04","22,276.39","21,833.85","22,223.57"
2024-07-31,"22,088.78","22,315.31","22,046.29","22,199.35"
2024-03-01,"19,021.35","19,041.92","18,923.46","18,935.93"
2024-03-04,"18,952.69","19,333.39","18,952.69","19,305.31"
2024-03-05,"19,398.97","19,453.85","19,332.73","19,386.92"
2024-03-06,"19,283.61","19,532.30","19,246.30","19,499.45"
2024-03-07,"19,678.36","19,794.57","19,630.79","19,693.52"
2024-03-08,"19,966.49","20,065.50","19,638.13","19,785.32"
2024-03-11,"19,671.90","19,828.70","19,649.67","19,726.08"
2024-03-12,"19,672.76","19,917.06","19,664.71","19,914.55"
2024-03-13,"20,024.83","20,112.81","19,866.73","19,928.51"
2024-03-14,"19,920.63","19,995.51","19,775.50","19,937.92"
2024-03-15,"19,845.45","19,888.13","19,682.50","19,682.50"
2024-03-18,"19,706.11","19,879.86","19,706.11","19,879.85"
2024-03-19,"19,798.12","19,921.25","19,762.16","19,857.20"
2024-03-20,"19,879.25","19,994.42","19,728.43","19,784.45"
2024-03-21,"19,843.80","20,199.30","19,843.80","20,199.09"
2024-03-22,"20,232.06","20,296.10","20,084.31","20,228.43"
2024-03-25,"20,228.64","20,285.38","20,172.80","20,192.25"
2024-03-26,"20,208.88","20,397.07","19,977.40","20,126.49"
2024-03-27,"20,158.07","20,255.10","20,108.96","20,200.12"
2024-03-28,"20,213.34","20,222.20","20,065.93","20,146.55"
2024-03-29,"20,156.34","20,335.92","20,156.34","20,294.45"
2024-04-01,"20,319.73","20,387.23","20,217.58","20,222.33"
2024-04-02,"20,359.81","20,466.57","20,359.81","20,466.57"
2024-04-03,"20,388.84","20,403.73","20,269.66","20,337.60"
2024-04-08,"20,395.05","20,487.83","20,379.83","20,417.70"
2024-04-09,"20,521.56","20,820.81","20,521.56","20,796.20"
2024-04-10,"20,789.42","20,883.69","20,763.53","20,763.53"
2024-04-11,"20,713.25","20,770.83","20,651.88","20,753.22"
2024-04-12,"20,772.79","20,825.04","20,713.87","20,736.57"
2024-04-15,"20,586.53","20,623.77","20,449.77","20,449.77"
2024-04-16,"20,365.11","20,365.11","19,844.54","19,901.96"
2024-04-17,"19,986.62","20,264.99","19,986.62","20,213.33"
2024-04-18,"20,126.57","20,363.09","20,057.81","20,301.20"
2024-04-19,"19,992.06","19,992.06","19,291.88","19,527.12"
2024-04-22,"19,466.44","19,695.49","19,395.31","19,411.22"
2024-04-23,"19,564.38","19,709.00","19,509.74","19,599.28"
2024-04-24,"19,770.46","20,165.77","19,770.46","20,131.74"
2024-04-25,"20,003.00","20,003.00","19,848.57","19,857.42"
2024-04-26,"20,094.17","20,226.29","20,087.61","20,120.51"
2024-04-29,"20,235.93","20,495.52","20,235.93","20,495.52"
2024-04-30,"20,508.48","20,559.97","20,396.60","20,396.60"
2024-01-02,"17,939.79","17,956.74","17,784.97","17,853.76"
2024-01-03,"17,829.28","17,829.28","17,518.19","17,559.31"
2024-01-04,"17,574.39","17,609.89","17,515.73","17,549.65"
2024-01-05,"17,559.40","17,606.79","17,495.39","17,519.14"
2024-01-08,"17,534.52","17,688.11","17,534.52","17,572.66"
2024-01-09,"17,585.40","17,694.26","17,517.55","17,535.49"
2024-01-10,"17,495.67","17,499.43","17,439.27","17,465.63"
2024-01-11,"17,477.88","17,574.92","17,476.87","17,545.32"
2024-01-12,"17,536.05","17,570.63","17,469.87","17,512.83"
2024-01-15,"17,541.26","17,632.77","17,532.98","17,546.82"
2024-01-16,"17,523.78","17,523.78","17,337.58","17,346.87"
2024-01-17,"17,341.58","17,361.05","17,151.58","17,161.79"
2024-01-18,"17,169.10","17,300.29","17,169.10","17,227.79"
2024-01-19,"17,546.51","17,682.97","17,499.85","17,681.52"
2024-01-22,"17,770.78","17,869.07","17,765.13","17,815.10"
2024-01-23,"17,840.28","17,893.73","17,801.89","17,874.59"
2024-01-24,"17,883.62","17,944.98","17,856.34","17,875.83"
2024-01-25,"17,894.83","18,014.26","17,894.83","18,002.62"
2024-01-26,"17,985.44","18,029.85","17,943.65","17,995.03"
2024-01-29,"18,001.24","18,119.63","17,995.11","18,119.63"
2024-01-30,"18,083.45","18,138.74","18,034.63","18,034.63"
2024-01-31,"17,970.41","17,996.33","17,874.95","17,889.56"
2024-09-02,"22,341.90","22,439.31","22,178.04","22,235.10"
2024-09-03,"22,240.11","22,303.50","22,092.21","22,092.21"
2024-09-04,"21,574.65","21,574.65","20,922.17","21,092.75"
2024-09-05,"21,271.09","21,488.81","21,150.99","21,187.71"
2024-09-06,"21,255.45","21,461.71","21,125.14","21,435.19"
2024-09-09,"21,127.81","21,163.91","20,922.51","21,144.44"
2024-02-01,"17,871.27","17,968.11","17,832.95","17,968.11"
2024-02-02,"18,016.35","18,059.93","17,985.89","18,059.93"
2024-02-05,"18,047.40","18,115.80","17,992.17","18,096.07"
2024-02-15,"18,664.45","18,725.47","18,550.86","18,644.57"
2024-02-16,"18,639.66","18,715.69","18,585.14","18,607.25"
2024-02-19,"18,561.04","18,663.74","18,561.04","18,635.80"
2024-02-20,"18,610.21","18,756.33","18,610.21","18,753.16"
2024-02-21,"18,673.49","18,729.03","18,645.27","18,676.31"
2024-02-22,"18,826.85","18,881.77","18,758.15","18,852.78"
2024-02-23,"18,950.07","19,012.38","18,889.19","18,889.19"
2024-02-26,"18,899.39","18,974.08","18,854.71","18,948.05"
2024-02-27,"18,964.49","19,023.01","18,752.53","18,854.41"
2024-02-29,"18,796.54","19,019.69","18,794.62","18,966.77"
2024-08-01,"22,546.40","22,652.21","22,465.06","22,642.10"
2024-08-02,"22,141.20","22,141.20","21,636.22","21,638.09"
2024-08-05,"20,982.92","20,982.92","19,783.50","19,830.88"
2024-08-06,"20,344.39","20,751.50","19,662.74","20,501.02"
2024-08-07,"20,638.28","21,306.23","20,638.28","21,295.28"
2024-08-08,"21,047.16","21,074.19","20,723.26","20,870.10"
2024-08-09,"21,212.00","21,613.76","21,212.00","21,469.00"
2024-08-12,"21,598.93","21,897.98","21,598.93","21,773.26"
2024-08-13,"21,816.07","21,866.63","21,698.47","21,796.57"
2024-08-14,"21,952.03","22,155.29","21,942.22","22,027.25"
2024-08-15,"22,005.69","22,089.04","21,895.17","21,895.17"
2024-08-16,"22,114.72","22,374.94","22,114.72","22,349.33"
2024-08-19,"22,338.83","22,485.91","22,307.17","22,409.63"
2024-08-20,"22,464.07","22,545.89","22,369.25","22,429.10"
2024-08-21,"22,316.78","22,358.88","22,165.82","22,237.89"
2024-08-22,"22,254.59","22,315.92","22,096.26","22,148.83"
2024-08-23,"22,042.59","22,159.27","21,935.98","22,158.05"
2024-08-26,"22,250.49","22,449.45","22,164.53","22,240.12"
2024-08-27,"22,179.21","22,205.11","22,059.51","22,185.00"
2024-08-28,"22,210.57","22,370.66","22,108.86","22,370.66"
2024-08-29,"22,136.31","22,273.62","22,010.89","22,201.85"
2024-08-30,"22,230.07","22,342.25","22,230.07","22,268.09"
2024-06-03,"21,388.71","21,612.54","21,372.08","21,536.76"
2024-06-04,"21,513.85","21,529.98","21,308.97","21,356.62"
2024-06-05,"21,385.00","21,510.86","21,264.63","21,484.88"
2024-06-06,"21,856.13","21,970.63","21,847.68","21,902.70"
2024-06-07,"21,823.62","21,920.85","21,823.62","21,858.38"
2024-06-11,"21,984.42","22,003.71","21,792.12","21,792.12"
2024-06-12,"21,841.81","22,094.94","21,841.81","22,048.96"
2024-06-13,"22,217.64","22,440.10","22,211.08","22,312.04"
2024-06-14,"22,311.93","22,504.72","22,252.02","22,504.72"
2024-06-17,"22,468.11","22,567.34","22,431.26","22,496.53"
2024-06-18,"22,690.34","22,787.67","22,642.94","22,757.43"
2024-06-19,"22,858.45","23,275.30","22,858.45","23,209.54"
2024-06-20,"23,196.69","23,406.10","23,180.70","23,406.10"
2024-06-21,"23,193.90","23,351.17","23,151.15","23,253.39"
2024-06-24,"23,124.31","23,131.68","22,813.70","22,813.70"
2024-06-25,"22,695.15","22,875.97","22,503.00","22,875.97"
2024-06-26,"22,938.57","23,074.74","22,893.75","22,986.69"
2024-06-27,"22,859.93","22,922.56","22,765.16","22,905.98"
2024-06-28,"22,896.72","23,142.40","22,896.72","23,032.25"
